"author_name","university_name"
"Bettina Forget","Concordia University"
"Bart Simond","Concordia University"
"Matthew Halpenny","Concordia University"
"Alexandre Saunier","Concordia University"
"Puneet Jain","Concordia University"
"Simon Laroche","Concordia University"
"Ricardo Dal Farra","Concordia University"
"Maxime Gordon","Concordia University"
"Alex Custodio","Concordia University"
"Hanine El Mir","Concordia University"
"Joseph Thibodeau","Concordia University"
"Pippin Barr","Concordia University"
"Steven Sych","Concordia University"
"Meaghan Wester","Concordia University"
"Rilla Khaled","Concordia University"
"Mona Hedayati","Concordia University"
"Ursula J’vlyn d’Ark","Concordia University"
"Shawn Trail","Confluence Recording Co."
"Brett Terry","Connecticut College"
"Bridget Baird","Connecticut College"
"Andrea Wollensak","Connecticut College"
"Agostino Di Scipio","Conservatorio Statale di Musica ""A. Casella"""
"Luca Turchet","Conservatorio Statale di Musica ""A. Casella"""
"Alessio Gabriele","Conservatorio Statale di Musica ""A. Casella"""
"Francesca Zanghellini","Conservatory of Music C. Monteverdi"
"Francesco Ardan Dal Rì","Conservatory of Music F. A. Bonporti"
"Francesco Manenti","Conservatory of Music Giuseppe Verdi"
"Alejandro Moreo","Consiglio Nazionale delle Ricerche"
"Fabrizio Sebastiani","Consiglio Nazionale delle Ricerche"
"Wendy G Ju","Cornell Tech"
"Ilan Mandel","Cornell Tech"
"Steve Marschner","Cornell University"
"Joy Xiaoji Zhang","Cornell University"
"Johannes Lehmann","Cornell University"
"Kaitlyn Beiler","Cornell University"
"Nola Rettenmaier","Cornell University"
"Christina Simon","Cornell University"
"Nadine El Nesr","Cornell University"
"Holger Klinck","Cornell University"
"Keith Evan Green","Cornell University"
"Elena B Sabinson","Cornell University"
"Mose Sakashita","Cornell University"
"Hyunju Kim","Cornell University"
"Ruidong Zhang","Cornell University"
"François Guimbretière","Cornell University"
"Tianhong Yu","Cornell University"
"Nancy Wang","Cornell University"
"Sarah Ellenbogen","Cornell University"
"Cindy Hsin-Liu Kao","Cornell University"
"Alec McGail","Cornell University"
"Jingwen Zhu","Cornell University"
"Rodrigo Guzman Serrano","Cornell University"
"Chris Roh","Cornell University"
